,name,sensors_types
0,Infinix S3X,fingerprint
1,Infinix S3X,accelerometer
2,Infinix S3X,gyro
3,Infinix S3X,proximity
4,Infinix S3X,compass
5,Infinix Hot 6X,fingerprint
6,Infinix Hot 6X,accelerometer
7,Infinix Hot 6X,proximity
8,Infinix Hot 6X,compass
9,Infinix Note 5 Stylus,fingerprint
10,Infinix Note 5 Stylus,accelerometer
11,Infinix Note 5 Stylus,gyro
12,Infinix Note 5 Stylus,proximity
13,Infinix Note 5 Stylus,compass
14,Infinix Smart 2 HD,accelerometer
15,Infinix Smart 2 HD,proximity
16,Infinix Smart 2 HD,compass
17,Infinix Smart 2 HD,fingerprint
18,Infinix Note 5,fingerprint
19,Infinix Note 5,accelerometer
20,Infinix Note 5,gyro
21,Infinix Note 5,proximity
22,Infinix Note 5,compass
23,Infinix Smart 2,accelerometer
24,Infinix Smart 2,proximity; fingerprint
25,Infinix Hot 6,fingerprint
26,Infinix Hot 6,accelerometer
27,Infinix Hot 6,proximity
28,Infinix Hot 6,compass
29,Infinix Smart 2 Pro,fingerprint
30,Infinix Smart 2 Pro,accelerometer
31,Infinix Smart 2 Pro,gyro
32,Infinix Smart 2 Pro,proximity
33,Infinix Smart 2 Pro,compass
34,Infinix Hot S3,fingerprint
35,Infinix Hot S3,accelerometer
36,Infinix Hot S3,proximity
37,Infinix Hot S3,compass
38,Infinix Hot 6 Pro,fingerprint
39,Infinix Hot 6 Pro,accelerometer
40,Infinix Hot 6 Pro,proximity
41,Infinix Hot 6 Pro,compass
42,Infinix Zero 5,fingerprint
43,Infinix Zero 5,accelerometer
44,Infinix Zero 5,gyro
45,Infinix Zero 5,proximity
46,Infinix Zero 5,compass
47,Infinix Zero 5 Pro,fingerprint
48,Infinix Zero 5 Pro,accelerometer
49,Infinix Zero 5 Pro,gyro
50,Infinix Zero 5 Pro,proximity
51,Infinix Zero 5 Pro,compass
52,Infinix Hot 5,fingerprint
53,Infinix Hot 5,accelerometer
54,Infinix Hot 5,proximity
55,Infinix Hot 5,compass
56,Infinix Hot 5 Lite,accelerometer
57,Infinix Hot 5 Lite,proximity
58,Infinix Hot 5 Lite,compass
59,Infinix Note 4 Pro,fingerprint
60,Infinix Note 4 Pro,accelerometer
61,Infinix Note 4 Pro,gyro
62,Infinix Note 4 Pro,proximity
63,Infinix Note 4 Pro,compass
64,Infinix Zero 4,fingerprint
65,Infinix Zero 4,accelerometer
66,Infinix Zero 4,gyro
67,Infinix Zero 4,proximity
68,Infinix Zero 4,compass
69,Infinix Note 4,fingerprint
70,Infinix Note 4,accelerometer
71,Infinix Note 4,proximity
72,Infinix Note 4,compass
73,Infinix Zero 4 Plus,fingerprint
74,Infinix Zero 4 Plus,accelerometer
75,Infinix Zero 4 Plus,gyro
76,Infinix Zero 4 Plus,proximity
77,Infinix Zero 4 Plus,compass
78,Infinix S2 Pro,fingerprint
79,Infinix S2 Pro,accelerometer
80,Infinix S2 Pro,gyro
81,Infinix S2 Pro,proximity
82,Infinix S2 Pro,compass
83,Infinix Hot 4 Pro,fingerprint
84,Infinix Hot 4 Pro,accelerometer
85,Infinix Hot 4 Pro,proximity
86,Infinix Hot 4 Pro,compass
87,Infinix Hot 4,fingerprint
88,Infinix Hot 4,accelerometer
89,Infinix Hot 4,proximity
90,Infinix Hot 4,compass
91,Infinix Note 3 Pro,fingerprint
92,Infinix Note 3 Pro,accelerometer
93,Infinix Note 3 Pro,proximity
94,Infinix Note 3 Pro,compass
95,Infinix Note 3,fingerprint
96,Infinix Note 3,accelerometer
97,Infinix Note 3,proximity
98,Infinix Note 3,compass
99,Infinix Smart,accelerometer
100,Infinix Smart,proximity
101,Infinix Hot S,fingerprint
102,Infinix Hot S,accelerometer
103,Infinix Hot S,proximity
104,Infinix Hot S,compass
105,Infinix Note 11i,fingerprint
106,Infinix Note 11i,accelerometer
107,Infinix Note 11i,gyro
108,Infinix Note 11i,proximity
109,Infinix Note 11i,compass
110,Infinix Smart 5 Pro,fingerprint
111,Infinix Smart 5 Pro,accelerometer
112,Infinix Smart 5 Pro,proximity
113,Infinix Note 11s,fingerprint
114,Infinix Note 11s,accelerometer
115,Infinix Note 11s,gyro
116,Infinix Note 11s,proximity
117,Infinix Note 11s,compass
118,Infinix Note 11,fingerprint
119,Infinix Note 11,accelerometer
120,Infinix Note 11,gyro
121,Infinix Note 11,proximity
122,Infinix Note 11,compass
123,Infinix Hot 11 Play,fingerprint
124,Infinix Hot 11 Play,accelerometer
125,Infinix Hot 11 Play,proximity
126,Infinix Hot 11 Play,compass
127,Infinix Smart 6,fingerprint
128,Infinix Smart 6,accelerometer
129,Infinix Smart 6,proximity
130,Infinix Hot 11s,fingerprint
131,Infinix Hot 11s,accelerometer
132,Infinix Hot 11s,gyro
133,Infinix Hot 11s,proximity
134,Infinix Hot 11s,compass
135,Infinix Note 11 Pro,fingerprint
136,Infinix Note 11 Pro,accelerometer
137,Infinix Note 11 Pro,gyro
138,Infinix Note 11 Pro,proximity
139,Infinix Note 11 Pro,compass
140,Infinix Hot 11,fingerprint
141,Infinix Hot 11,accelerometer
142,Infinix Hot 11,gyro
143,Infinix Hot 11,proximity
144,Infinix Hot 11,compass
145,Infinix Zero X,fingerprint
146,Infinix Zero X,accelerometer
147,Infinix Zero X,gyro
148,Infinix Zero X,proximity
149,Infinix Zero X,compass
150,Infinix Zero X Neo,fingerprint
151,Infinix Zero X Neo,accelerometer
152,Infinix Zero X Neo,gyro
153,Infinix Zero X Neo,proximity
154,Infinix Zero X Neo,compass
155,Infinix Hot 10i,fingerprint
156,Infinix Hot 10i,accelerometer
157,Infinix Hot 10i,proximity
158,Infinix Zero X Pro,fingerprint
159,Infinix Zero X Pro,accelerometer
160,Infinix Zero X Pro,gyro
161,Infinix Zero X Pro,proximity
162,Infinix Zero X Pro,compass
163,Infinix Note 10 Pro NFC,fingerprint
164,Infinix Note 10 Pro NFC,accelerometer
165,Infinix Note 10 Pro NFC,gyro
166,Infinix Note 10 Pro NFC,proximity
167,Infinix Note 10 Pro NFC,compass
168,Infinix Note 10,fingerprint
169,Infinix Note 10,accelerometer
170,Infinix Note 10,proximity
171,Infinix Note 10,compass
172,Infinix Hot 10T,fingerprint
173,Infinix Hot 10T,accelerometer
174,Infinix Hot 10T,proximity
175,Infinix Hot 10T,compass
176,Infinix Hot 10s NFC,fingerprint
177,Infinix Hot 10s NFC,accelerometer
178,Infinix Hot 10s NFC,proximity
179,Infinix Hot 10s,fingerprint
180,Infinix Hot 10s,accelerometer
181,Infinix Hot 10s,proximity
182,Infinix Hot 10 Play,fingerprint
183,Infinix Hot 10 Play,accelerometer
184,Infinix Hot 10 Play,proximity
185,Infinix Hot 10 Play,compass
186,Infinix Smart 5 (India),fingerprint
187,Infinix Smart 5 (India),accelerometer
188,Infinix Smart 5 (India),gyro
189,Infinix Smart 5 (India),proximity
190,Infinix Smart 5 (India),compass
191,Infinix Note 10 Pro,fingerprint
192,Infinix Note 10 Pro,accelerometer
193,Infinix Note 10 Pro,gyro
